"كود الخدمة","القسم","اسم الخدمة","السعر المقترح"
"S-185","UNKNOWN","E2E Service Used 1772765675","450"
"S-186","UNKNOWN","E2E Service Used 1772766131","450"
"S-187","UNKNOWN","E2E Service Used 1772767138","450"
"S-188","UNKNOWN","E2E Service Used 1772767241","450"
"S-189","UNKNOWN","E2E Service Used 1772767389","450"
"S-190","UNKNOWN","E2E Service Used 1772767652","450"
"S-191","UNKNOWN","E2E Service Used 1772768582","450"
"S-192","UNKNOWN","E2E Service Used 1772769013","450"
"S-193","UNKNOWN","E2E Service Used 1772770703","450"
"S-194","UNKNOWN","E2E Service Used 1772813554","450"
"S-195","UNKNOWN","E2E Service Used 1772835083","450"
"S-196","الفساتين","E2E Service Used 1772835172","600"
"S-197","UNKNOWN","E2E Service Unused 1772835172","450"
"S-198","الفساتين","E2E Service Used 1772835901","600"
"S-199","UNKNOWN","E2E Service Unused 1772835901","450"
"S-200","الفساتين","E2E Service Used 1772836274","600"
"S-201","UNKNOWN","E2E Service Unused 1772836274","450"
"S-202","الفساتين","E2E Service Used 1772836889","600"
"S-203","UNKNOWN","E2E Service Unused 1772836889","450"
"S-204","UNKNOWN","E2E Service Used 1772837721","450"
"S-205","الفساتين","E2E Service Used 1772837776","600"
"S-207","الفساتين","E2E Service Used 1772838404","600"
"S-208","UNKNOWN","E2E Service Unused 1772838404","450"
"S-209","الفساتين","E2E Service Used 1772838895","600"
"S-210","UNKNOWN","E2E Service Unused 1772838895","450"
"S-211","الفساتين","E2E Service Used 1772839301","600"
"S-212","UNKNOWN","E2E Service Unused 1772839301","450"
"S-213","الفساتين","E2E Service Used 1772839689","600"
"S-214","UNKNOWN","E2E Service Unused 1772839689","450"
